"title","title_yomi","author","url","publisher","pub_year","isbn"
"六三四の剣","ムサシ ノ ケン","村上もとか 著","http://iss.ndl.go.jp/books/R100000002-I000002996308-00","小学館",2001,9784091933386
"六三四の剣","ムサシ ノ ケン","村上もとか 著","http://iss.ndl.go.jp/books/R100000002-I000003040533-00","小学館",2001,9784091933331
"六三四の剣","ムサシ ノ ケン","村上もとか 著","http://iss.ndl.go.jp/books/R100000002-I000003063205-00","小学館",2000,9784091933317
"ONE PIECE","ワン ピース","尾田栄一郎 著","http://iss.ndl.go.jp/books/R100000002-I031630651-00","集英社",2021,9784088827803
"ONE PIECE","ワン ピース","尾田栄一郎 著","http://iss.ndl.go.jp/books/R100000002-I031630651-00","集英社",2021,9784088827803
"ONE PIECE","ワン ピース","尾田栄一郎 著","http://iss.ndl.go.jp/books/R100000002-I032288301-00","集英社",2022,9784088831909
"ハムスターの研究レポート","ハムスター ノ ケンキュウ レポート","大雪師走 著","http://iss.ndl.go.jp/books/R100000002-I000002071186-00","MOE出版",1990,9784895943352
"ハムスターの研究レポート","ハムスター ノ ケンキュウ レポート","大雪師走 作","http://iss.ndl.go.jp/books/R100000002-I000002495353-00","偕成社",1996,9784030142008
"死ぬまでに行きたい世界の図書館 : ようこそ『ハリー・ポッター』魔法の世界へ : 本に囲まれた幸せな場所がきっと見つかる!!","シヌ マデ ニ イキタイ セカイ ノ トショカン : ヨウコソ ハリー ポッター マホウ ノ セカイ エ : ホン ニ カコマレタ シアワセ ナ バショ ガ キット ミツカル",,"http://iss.ndl.go.jp/books/R100000002-I026851509-00","笠倉出版社",2015,9784773056570
"一冊でマスター!技術士第一次・第二次試験「機械部門」要点解説 : 金属工学・材料工学編 材料力学編 機械力学編 振動工学編 制御工学編 流体力学編 熱力学編 トライボロジー編","1サツ デ マスター ギジュツシ ダイ 1ジ ダイ 2ジ シケン キカイ ブモン ヨウテン カイセツ : キンゾク コウガク ザイリョウ コウガクヘン ザイリョウ リキガクヘン キカイ リキガクヘン シンドウ コウガクヘン セイギョ コウガクヘン リュウタイ リキガクヘン ネツ リキガクヘン トライボロジーヘン","飯島拓也 著","http://iss.ndl.go.jp/books/R100000002-I023446812-00","東京電機大学出版局",2012,9784501419400
"ハイスクール・フリートファンブック = HIGH SCHOOL FLEET FAN BOOK","ハイ スクール フリート ファン ブック",,"http://iss.ndl.go.jp/books/R100000002-I027744368-00","KADOKAWA",2016,9784040684437
"ぶざまな人生","ブザマナ ジンセイ","勢古浩爾 著","http://iss.ndl.go.jp/books/R100000002-I000003989662-00","洋泉社",2002,9784896916829
"図説中国印刷史","ズセツ チュウゴク インサツシ","米山寅太郎 著","http://iss.ndl.go.jp/books/R100000002-I000007654356-00","汲古書院",2005,9784762950407
"365日にっぽんのいろ図鑑 : 写真で楽しむ伝統色の名前と由来","サンビャクロクジュウゴニチ ニッポン ノ イロ ズカン : シャシン デ タノシム デントウショク ノ ナマエ ト ユライ","暦生活 [著]; 高月美樹 監修","http://iss.ndl.go.jp/books/R100000002-I030795947-00","玄光社",2020,9784768314197
"誰でもできるディベート入門講座 : ビジネス・コミュニケーションを活性化させる技術","ダレ デモ デキル ディベート ニュウモン コウザ : ビジネス コミュニケーション オ カッセイカサセル ギジュツ","西部直樹 著","http://iss.ndl.go.jp/books/R100000002-I000003682913-00","ぱる出版",2002,9784893869517
"校勘学講義 : 中国古典文献の読み方","コウカンガク コウギ : チュウゴク コテン ブンケン ノ ヨミカタ","倪其心 原著; 橋本秀美, 鈴木かおり 訳","http://iss.ndl.go.jp/books/R100000002-I000004321621-00","アルヒーフ//すずさわ書店",2003,9784795401785
"古書のはなし : 書誌学入門","コショ ノ ハナシ","長沢規矩也 著","http://iss.ndl.go.jp/books/R100000002-I000002335617-00","富山房",1994,9784572007636
"論理的な話し方が面白いほどできる本","ロンリテキナ ハナシカタ ガ オモシロイホド デキル ホン","西部直樹 著","http://iss.ndl.go.jp/books/R100000002-I000008260094-00","成美堂出版",2006,9784415077659
"目録学発微 : 中国文献分類法","モクロクガク ハツビ : チュウゴク ブンケン ブンルイホウ","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I024642288-00","平凡社",2013,9784582808377
"目録学発微 : 中国文献分類法","モクロクガク ハツビ : チュウゴク ブンケン ブンルイホウ","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I024642288-00","平凡社",2013,9784582808377
"目録学発微 : 中国文献分類法","モクロクガク ハツビ : チュウゴク ブンケン ブンルイホウ","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I024642288-00","平凡社",2013,9784582808377
"初学者のための中国古典文献入門","ショガクシャ ノ タメ ノ チュウゴク コテン ブンケン ニュウモン","坂出祥伸 著","http://iss.ndl.go.jp/books/R100000002-I028954766-00","筑摩書房",2018,9784480098696
"古書通例 : 中国文献学入門","コショ ツウレイ : チュウゴク ブンケンガク ニュウモン","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I000009396852-00","平凡社",2008,9784582807752
"古書通例 : 中国文献学入門","コショ ツウレイ : チュウゴク ブンケンガク ニュウモン","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I000009396852-00","平凡社",2008,9784582807752
"古書通例 : 中国文献学入門","コショ ツウレイ : チュウゴク ブンケンガク ニュウモン","余嘉錫 著; 古勝隆一, 嘉瀬達男, 内山直樹 訳注","http://iss.ndl.go.jp/books/R100000002-I000009396852-00","平凡社",2008,9784582807752
"これからはじめるPhotoshopの本","コレカラ ハジメル フォトショップ ノ ホン","宮川千春, 木俣カイ 著; ロクナナワークショップ 監修","http://iss.ndl.go.jp/books/R100000002-I027864527-00","技術評論社",2017,9784774187198
"近代スイス・ドイツの音楽基礎教育と歌唱活動","キンダイ スイス ドイツ ノ オンガク キソ キョウイク ト カショウ カツドウ","関口博子 著","http://iss.ndl.go.jp/books/R100000002-I027870052-00","現代図書//星雲社",2017,9784434224904
"奇科学島の記憶 : 捕まえたもん勝ち!","キカガクジマ ノ キオク : ツカマエタ モン ガチ","加藤元浩 著","http://iss.ndl.go.jp/books/R100000002-I029494026-00","講談社",2019,9784065146965
"基礎からわかる情報リテラシー : コンピューター・インターネットと付き合う基礎知識","キソ カラ ワカル ジョウホウ リテラシー : コンピューター インターネット ト ツキアウ キソ チシキ","奥村晴彦, 森本尚之 著","http://iss.ndl.go.jp/books/R100000002-I030709664-00","技術評論社",2020,9784297117108
"基礎からわかる情報リテラシー : コンピューター・インターネットと付き合う基礎知識","キソ カラ ワカル ジョウホウ リテラシー : コンピューター インターネット ト ツキアウ キソ チシキ","奥村晴彦, 森本尚之 著","http://iss.ndl.go.jp/books/R100000002-I030709664-00","技術評論社",2020,9784297117108
"「有名人になる」ということ","ユウメイジン ニ ナル ト イウ コト","勝間和代 [著]","http://iss.ndl.go.jp/books/R100000002-I023588940-00","ディスカヴァー・トゥエンティワン",2012,9784799311615
"「有名人になる」ということ","ユウメイジン ニ ナル ト イウ コト","勝間和代 [著]","http://iss.ndl.go.jp/books/R100000002-I023588940-00","ディスカヴァー・トゥエンティワン",2012,9784799311615
"知の座標 : 中国目録学","チ ノ ザヒョウ : チュウゴク モクロクガク","井波陵一 著","http://iss.ndl.go.jp/books/R100000002-I000004269724-00","白帝社",2003,9784891746346
"知の座標 : 中国目録学","チ ノ ザヒョウ : チュウゴク モクロクガク","井波陵一 著","http://iss.ndl.go.jp/books/R100000002-I000004269724-00","白帝社",2003,9784891746346
"ヴェトナム新時代 : 「豊かさ」への模索","ヴェトナム シンジダイ : ユタカサ エノ モサク","坪井善明 著","http://iss.ndl.go.jp/books/R100000002-I000009493192-00","岩波書店",2008,9784004311454
"ヴェトナム新時代 : 「豊かさ」への模索","ヴェトナム シンジダイ : ユタカサ エノ モサク","坪井善明 著","http://iss.ndl.go.jp/books/R100000002-I000009493192-00","岩波書店",2008,9784004311454
"ヴェトナム新時代 : 「豊かさ」への模索","ヴェトナム シンジダイ : ユタカサ エノ モサク","坪井善明 著","http://iss.ndl.go.jp/books/R100000002-I000009493192-00","岩波書店",2008,9784004311454
"文芸オタクの私が教えるバズる文章教室","ブンゲイ オタク ノ ワタクシ ガ オシエル バズル ブンショウ キョウシツ","三宅香帆 著","http://iss.ndl.go.jp/books/R100000002-I029695074-00","サンクチュアリ出版",2019,9784801400672
"思考を鍛える大学の学び入門 = Establish Academic Cornerstone : 論理的な考え方・書き方からキャリアデザインまで","シコウ オ キタエル ダイガク ノ マナビ ニュウモン : ロンリテキ ナ カンガエカタ カキカタ カラ キャリア デザイン マデ","井下千以子 著","http://iss.ndl.go.jp/books/R100000002-I028103813-00","慶應義塾大学出版会",2017,9784766424126
"思考を鍛える大学の学び入門 = Establish Academic Cornerstone : 論理的な考え方・書き方からキャリアデザインまで","シコウ オ キタエル ダイガク ノ マナビ ニュウモン : ロンリテキ ナ カンガエカタ カキカタ カラ キャリア デザイン マデ","井下千以子 著","http://iss.ndl.go.jp/books/R100000002-I028103813-00","慶應義塾大学出版会",2017,9784766424126
"プレゼン・成功の秘訣","プレゼン セイコウ ノ ヒケツ","ボブ・ボイラン 著; 今井茂雄 訳","http://iss.ndl.go.jp/books/R100000002-I000003664393-00","新潮社",2002,9784102901663
"ねずみくんのチョッキ","ネズミ クン ノ チョッキ","なかえよしを 作; 上野紀子 絵","http://iss.ndl.go.jp/books/R100000002-I000007318353-00","ポプラ社",2004,9784591080733
"能楽手帖","ノウガク テチョウ","天野文雄 [著]","http://iss.ndl.go.jp/books/R100000002-I029937595-00","KADOKAWA",2019,9784044000608
"科学的トレーニングで英語力は伸ばせる!","カガクテキ トレーニング デ エイゴリョク ワ ノバセル","田浦秀幸 著","http://iss.ndl.go.jp/books/R100000002-I027037302-00","マイナビ出版",2016,9784839957377
"科学的トレーニングで英語力は伸ばせる!","カガクテキ トレーニング デ エイゴリョク ワ ノバセル","田浦秀幸 著","http://iss.ndl.go.jp/books/R100000002-I027037302-00","マイナビ出版",2016,9784839957377
"司書になるには","シショ ニ ナル ニワ","森智彦 著","http://iss.ndl.go.jp/books/R100000002-I027614902-00","ぺりかん社",2016,9784831514202
"司書になるには","シショ ニ ナル ニワ","森智彦 著","http://iss.ndl.go.jp/books/R100000002-I027614902-00","ぺりかん社",2016,9784831514202
"中国の書物と印刷","チュウゴク ノ ショモツ ト インサツ","張紹勲 著; 高津孝 訳","http://iss.ndl.go.jp/books/R100000002-I000002845244-00","日本エディタースクール出版部",1999,9784888882958
"テキスト生涯学習 : 学びがつむぐ新しい社会","テキスト ショウガイ ガクシュウ : マナビ ガ ツムグ アタラシイ シャカイ","田中雅文, 坂口緑, 柴田彩千子, 宮地孝宜 著","http://iss.ndl.go.jp/books/R100000002-I026184306-00","学文社",2015,9784762024924
"目録学に親しむ : 漢籍を知る手引き","モクロクガク ニ シタシム : カンセキ オ シル テビキ","京都大学人文科学研究所附属東アジア人文情報学研究センター 編; 古勝隆一, 宇佐美文理, 永田知之 著","http://iss.ndl.go.jp/books/R100000002-I028090931-00","研文出版",2017,9784876364206
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I030404376-00","新潮社",2020,9784101235295
"和本入門 : 千年生きる書物の世界","ワホン ニュウモン : 1000ネン イキル ショモツ ノ セカイ","橋口侯之介 著","http://iss.ndl.go.jp/books/R100000002-I000011282662-00","平凡社",2011,9784582767445
"和本入門 : 千年生きる書物の世界","ワホン ニュウモン : 1000ネン イキル ショモツ ノ セカイ","橋口侯之介 著","http://iss.ndl.go.jp/books/R100000002-I000011282662-00","平凡社",2011,9784582767445
"幻想古書店で珈琲を","ゲンソウ コショテン デ コーヒー オ","蒼月海里 著","http://iss.ndl.go.jp/books/R100000002-I026713923-00","角川春樹事務所",2015,9784758439442
"幕府のふみくら : 内閣文庫のはなし","バクフ ノ フミクラ : ナイカク ブンコ ノ ハナシ","長澤孝三 著","http://iss.ndl.go.jp/books/R100000002-I023842385-00","吉川弘文館",2012,9784642080804
"幕府のふみくら : 内閣文庫のはなし","バクフ ノ フミクラ : ナイカク ブンコ ノ ハナシ","長澤孝三 著","http://iss.ndl.go.jp/books/R100000002-I023842385-00","吉川弘文館",2012,9784642080804
"タカラヅカ百年の芸名","タカラズカ ヒャクネン ノ ゲイメイ","桐山智子 著","http://iss.ndl.go.jp/books/R100000002-I031739192-00","武蔵野書院",2021,9784838604975
"目録学の誕生 = The Birth of Muluxue : 劉向が生んだ書物文化","モクロクガク ノ タンジョウ : リュウ キョウ ガ ウンダ ショモツ ブンカ","古勝隆一 著","http://iss.ndl.go.jp/books/R100000002-I029531350-00","臨川書店",2019,9784653043768
"バカロレアの哲学 = Philosophie au baccalauréat : 「思考の型」で自ら考え、書く","バカロレア ノ テツガク : シコウ ノ カタ デ ミズカラ カンガエ カク","坂本尚志 著","http://iss.ndl.go.jp/books/R100000002-I031921143-00","日本実業出版社",2022,9784534059031
"グレート・ギャツビー","グレート ギャツビー","スコット・フィッツジェラルド 著; 村上春樹 訳","http://iss.ndl.go.jp/books/R100000002-I000008394934-00","中央公論新社",2006,9784124035049
"グレート・ギャツビー","グレート ギャツビー","スコット・フィッツジェラルド 著; 村上春樹 訳","http://iss.ndl.go.jp/books/R100000002-I000008394934-00","中央公論新社",2006,9784124035049
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I030404375-00","新潮社",2020,9784101235288
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I030404375-00","新潮社",2020,9784101235288
"作品で綴る近代文学史","サクヒン デ ツズル キンダイ ブンガクシ","山田有策, 畑有三, 長野隆 編","http://iss.ndl.go.jp/books/R100000002-I028798348-00","鼎書房",2018,9784907282370
"書誌学のすすめ : 中国の愛書文化に学ぶ","ショシガク ノ ススメ : チュウゴク ノ アイショ ブンカ ニ マナブ","高橋智 著","http://iss.ndl.go.jp/books/R100000002-I000011018564-00","東方書店",2010,9784497210142
"海を渡ってきた漢籍 : 江戸の書誌学入門","ウミ オ ワタッテ キタ カンセキ : エド ノ ショシガク ニュウモン","髙橋智 著","http://iss.ndl.go.jp/books/R100000002-I027332188-00","日外アソシエーツ//紀伊國屋書店",2016,9784816926105
"猫を抱いて象と泳ぐ","ネコ オ ダイテ ゾウ ト オヨグ","小川洋子 著","http://iss.ndl.go.jp/books/R100000002-I000011223687-00","文藝春秋",2011,9784167557034
"世界の神話","セカイ ノ シンワ","沖田瑞穂 著","http://iss.ndl.go.jp/books/R100000002-I029807264-00","岩波書店",2019,9784005009022
"スキルアップ!情報検索 : 基本と実践","スキル アップ ジョウホウ ケンサク : キホン ト ジッセン","中島玲子, 安形輝, 宮田洋輔 著","http://iss.ndl.go.jp/books/R100000002-I031209606-00","日外アソシエーツ",2021,9784816928628
"スキルアップ!情報検索 : 基本と実践","スキル アップ ジョウホウ ケンサク : キホン ト ジッセン","中島玲子, 安形輝, 宮田洋輔 著","http://iss.ndl.go.jp/books/R100000002-I031209606-00","日外アソシエーツ",2021,9784816928628
"パリでメシを食う。","パリ デ メシ オ クウ","川内有緒 [著]","http://iss.ndl.go.jp/books/R100000002-I000011087692-00","幻冬舎",2010,9784344415034
"魔道祖師","マドウ ソシ","墨香銅臭 著; 鄭穎馨 訳","http://iss.ndl.go.jp/books/R100000002-I031447528-00","フロンティアワークス",2021,9784866574134
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"出ることだけ!中国語検定4級合格一直線","デル トコ ダケ チュウゴクゴ ケンテイ ヨンキュウ ゴウカク イッチョクセン","長澤文子, 盧尤 著","http://iss.ndl.go.jp/books/R100000002-I024257036-00","アスク出版",2013,9784872178364
"出ることだけ!中国語検定4級合格一直線","デル トコ ダケ チュウゴクゴ ケンテイ ヨンキュウ ゴウカク イッチョクセン","長澤文子, 盧尤 著","http://iss.ndl.go.jp/books/R100000002-I024257036-00","アスク出版",2013,9784872178364
"グリムの森へ","グリム ノ モリ エ","グリム [原著]; 髙村薫, 松本侑子, 阿川佐和子, 大庭みな子, 津島佑子, 中沢けい, 木崎さと子, 皆川博子 著","http://iss.ndl.go.jp/books/R100000002-I026159298-00","小学館",2015,9784094061413
"饗宴 : ソクラテス最後の事件","キョウエン : ソクラテス サイゴ ノ ジケン","柳広司 [著]","http://iss.ndl.go.jp/books/R100000002-I029994245-00","KADOKAWA",2019,9784041086360
"夜は短し歩けよ乙女","ヨル ワ ミジカシ アルケヨ オトメ","森見登美彦 [著]","http://iss.ndl.go.jp/books/R100000002-I000009993868-00","角川書店//角川グループパブリッシング",2008,9784043878024
"夜は短し歩けよ乙女","ヨル ワ ミジカシ アルケヨ オトメ","森見登美彦 [著]","http://iss.ndl.go.jp/books/R100000002-I000009993868-00","角川書店//角川グループパブリッシング",2008,9784043878024
"看守の流儀","カンシュ ノ リュウギ","城山真一 著","http://iss.ndl.go.jp/books/R100000002-I031886893-00","宝島社",2022,9784299025265
"分類法キイノート","ブンルイホウ キイノート","宮沢厚雄 著","http://iss.ndl.go.jp/books/R100000002-I030424207-00","樹村房",2020,9784883673438
"分類法キイノート","ブンルイホウ キイノート","宮沢厚雄 著","http://iss.ndl.go.jp/books/R100000002-I030424207-00","樹村房",2020,9784883673438
"魔王","マオウ","伊坂幸太郎 [著]","http://iss.ndl.go.jp/books/R100000002-I000009544385-00","講談社",2008,9784062761420
